customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,order_date,delivery_date,days_to_deliver,time_to_deliver,month,year,week,weekD,sales_id,product_id,price_per_unit,sold_quantity,total_price
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2,48.0,4,2021,13,Sun,2245,211,106,3,318
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2,48.0,4,2021,13,Sun,2246,783,91,2,182
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat,3324,525,98,2,196
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat,3325,792,91,2,182
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat,3326,179,98,1,98
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat,3327,789,91,3,273
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,2021-02-18,2021-03-01,11,264.00000000000006,2,2021,7,Thu,3639,197,98,3,294
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,2021-02-18,2021-03-01,11,264.00000000000006,2,2021,7,Thu,3640,558,98,1,98
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2,48.0,5,2021,20,Fri,2292,1118,115,3,345
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2,48.0,5,2021,20,Fri,2293,1259,112,2,224
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2,48.0,5,2021,20,Fri,2294,811,117,1,117
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2,48.0,5,2021,20,Fri,2295,408,119,1,119
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2,48.0,5,2021,20,Fri,2296,1010,106,2,212
10,Susanetta Wilshin,Bigender,70,615 Hayley KnollSuite 454,2118,Joelburgh,Western Australia,Australia,595,45626,2021-03-09,2021-03-29,20,480.0,3,2021,10,Tue,2990,1023,90,3,270
11,Michaeline McIndrew,Agender,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia,560,41952,2021-05-28,2021-06-05,8,192.0,5,2021,21,Fri,2800,144,91,2,182
11,Michaeline McIndrew,Agender,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia,560,41952,2021-05-28,2021-06-05,8,192.0,5,2021,21,Fri,2801,590,100,2,200
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat,630,770,91,1,91
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat,631,516,102,2,204
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat,632,989,106,2,212
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat,633,407,119,2,238
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat,634,840,113,2,226
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat,635,185,98,2,196
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat,636,653,93,3,279
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat,637,1194,105,1,105
13,Marabel Swinfon,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,398,31626,2021-09-28,2021-10-13,15,360.0,9,2021,39,Tue,1980,503,102,1,102
13,Marabel Swinfon,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,398,31626,2021-09-28,2021-10-13,15,360.0,9,2021,39,Tue,1981,472,118,1,118
13,Marabel Swinfon,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,398,31626,2021-09-28,2021-10-13,15,360.0,9,2021,39,Tue,1982,611,112,1,112
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,14,336.0,8,2021,34,Tue,973,758,109,3,327
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,14,336.0,8,2021,34,Tue,974,1158,99,2,198
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,14,336.0,8,2021,34,Tue,975,964,97,2,194
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,14,336.0,8,2021,34,Tue,976,135,92,2,184
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,14,336.0,8,2021,34,Tue,977,842,113,3,339
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,14,336.0,8,2021,34,Tue,978,992,106,1,106
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,995,43588,2021-04-14,2021-04-28,14,336.0,4,2021,15,Wed,4975,564,100,3,300
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,995,43588,2021-04-14,2021-04-28,14,336.0,4,2021,15,Wed,4976,837,117,1,117
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,995,43588,2021-04-14,2021-04-28,14,336.0,4,2021,15,Wed,4977,536,98,1,98
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,995,43588,2021-04-14,2021-04-28,14,336.0,4,2021,15,Wed,4978,756,109,2,218
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,995,43588,2021-04-14,2021-04-28,14,336.0,4,2021,15,Wed,4979,24,96,3,288
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,995,43588,2021-04-14,2021-04-28,14,336.0,4,2021,15,Wed,4980,244,106,1,106
16,Gabbie Aldwinckle,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia,885,27561,2021-10-18,2021-11-13,26,624.0,10,2021,42,Mon,4439,511,102,2,204
16,Gabbie Aldwinckle,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia,885,27561,2021-10-18,2021-11-13,26,624.0,10,2021,42,Mon,4440,930,96,3,288
16,Gabbie Aldwinckle,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia,885,27561,2021-10-18,2021-11-13,26,624.0,10,2021,42,Mon,4441,1222,105,2,210
16,Gabbie Aldwinckle,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia,885,27561,2021-10-18,2021-11-13,26,624.0,10,2021,42,Mon,4442,1012,106,3,318
